Species,SpecCode,CommonName,ITOFF.Group,Kingdom,Phylum,Class,Order,Family,Genus,System,Group,Status,EstabwildSuccess,Means_Introduction,IUCN_Status,Polar,Boreal,Temperate,SubTropical,Tropical,Impacting,Impacted_by,ReproMode,Fertilization,RepGuild1,RepGuild2,Spawning,MeanFecundity,MinFecundity,MaxFecundity,BroodSize,AgeMaturity_Years_Estimate,MeanAgeMaturity_Years,GenerationTime_Years_Estimate,TrophicLevel_Estimate,TrophicLevel,FeedingType,Relative_BrainWeight,Longevity_Years_Estimate,Tmax,Wmax,Lmax,TempPref_min,TempPref_max,TempRange,TolerableTemp_min,TolerableTemp_max,Temp_Range_tolerable,Sources
Cyprinion microphthalmum,23202,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinion,Freshwater,Native,LC,,,LC,,,1,1,1,,,,,,,,,,,,0.9,,1.3,2.9,,,,3.1,,,,,,,,,,IUCN; Fishbase
Enteromius kerstenii,11379,Redspot barb,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,Freshwater,Native,LC,,,LC,,,,1,1,,,,,,,,,,,,,,,,2.97,predator,,,,,7.725000024,23,26,3,,,,IUCN; Fishbase
Garra persica,54836,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Garra,Freshwater,Native,LC,,,LC,,,1,1,,,,,,,,,,,,,1,,1.3,,,,,3.1,,,,,,,,,,IUCN; Fishbase
Labeo dussumieri,13631,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,Freshwater,Native,LC,,,LC,,,,,1,,,,,,,,153137,66420,239854,,3.3,,4.2,,2,grazer,,14.3,,,55,,,,,,,IUCN; Fishbase
Labeo kawrus,13172,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,Freshwater,Native,LC,,,LC,,,,,1,,,,,,,,,,,,3.9,,5.1,,,,,16.8,,,60,,,,,,,IUCN; Fishbase
Labeo umbratus,7577,Moggel,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,Freshwater,Native,LC,,,LC,,,,1,,,Micropterus salmoides (Unclear); Clarias gariepinus (Unclear),,,,,,,,,,3.3,,4.2,,2.77,variable,,14.3,,,,,,,,,,IUCN; Fishbase
Osteochilus nashii,24089,Nash's barb,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Osteochilus,Freshwater,Native,LC,,,LC,,,,,1,,,,,,,,,,,,1.5,,2.1,,,,,5.4,,,18,,,,,,,IUCN; Fishbase
Pethia punctata,60202,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pethia,Freshwater,Native,LC,,,LC,,,,,1,,,,,,,,,,,,0.8,,1,2.6,,,,2.4,,,,,,,,,,IUCN; Fishbase
Puntius dorsalis,13193,Long snouted barb,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,Freshwater,Native,LC,,,LC,,,,,1,,,,,,,,,,,,0.9,,1.3,,2.5,variable,,3.3,,,,,,,,,,IUCN; Fishbase
Rohtee ogilbii,13202,Vatani rohtee,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Rohtee,Freshwater,Native,LC,,,LC,,,,,1,,Oreochromis mossambicus (Unclear),,,,,,,,,,3.3,,4.2,2.8,,,,14.3,,,,,,,,,,IUCN; Fishbase
Schizopygopsis stoliczkai,24426,False osman,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Schizopygopsis,Freshwater,Native,LC,,,LC,,,1,1,1,,,,,,,,,,,,2.5,,2.8,2.9,,,,9.8,,,,,,,,,,IUCN; Fishbase
Ammocrypta pellucida,3394,Eastern sand darter,4,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Ammocrypta,Freshwater,Native,LC,,,LC,,1,1,1,,,Neogobius melanostomus (Competition),dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.2,,1.5,,3.57,predator,,3.7,,,,,,,,,,IUCN; Fishbase
Anchoa belizensis,1681,Belize anchovy,4,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Anchoa,Freshwater,Native,LC,,,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,3.3,,,,,,,,,,,,,,IUCN; Fishbase
Aplocheilus parvus,11287,Dwarf panchax,4,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Aplocheilidae,Aplocheilus,Freshwater_Brackish,Native,LC,,,LC,,,,,1,,Oreochromis mossambicus (Competition),dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,,3.54,predator,,,,,,22,25,3,,,,IUCN; Fishbase
Brachirus panoides,25167,,4,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Brachirus,Freshwater_Brackish,Native,LC,,,LC,,,,,1,,,dioecism,external,nonguarders,,,,,,,1.9,,2.6,,3.5,predator,,6.9,,,,,,,,,,IUCN; Fishbase
Campostoma ornatum,2745,Mexican stoneroller,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Campostoma,Freshwater,Native,LC,,,LC,,,1,1,,,Lepomis cyanellus (Predation); Fundulus zebrinus (Unclear),dioecism,external,nonguarders,brood hiders,,,,,,2.1,,2.9,,,,,7.6,,,,,,,,,,IUCN; Fishbase
Catostomus cahita,6168,Cahita sucker,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,Freshwater,Native,LC,,,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,2.8,,,,,,,,,,,,,,IUCN; Fishbase
Centropomus ensiferus,1013,Swordspine snook,4,Animalia,Chordata,Actinopterygii,Perciformes,Centropomidae,Centropomus,Freshwater_Brackish_Marine,Native,LC,,,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,1290000,80000,2500000,,,3.5,4,,4.18,predator,,13.6,,,,,,,,,,IUCN; Fishbase
Centropomus parallelus,1014,Fat snook,4,Animalia,Chordata,Actinopterygii,Perciformes,Centropomidae,Centropomus,Freshwater_Brackish_Marine,Native,LC,,,LC,,,1,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,900000,,,,3.5,4.7,,4.21,predator,,15.2,,,,24.9,28,3.1,,,,IUCN; Fishbase
Centropomus poeyi,1016,Mexican snook,4,Animalia,Chordata,Actinopterygii,Perciformes,Centropomidae,Centropomus,Freshwater_Brackish_Marine,Native,LC,,,LC,,,,1,1,,,dioecism,external,nonguarders,,,,,,,2,,2.9,,3.98,predator,,9.3,,,,25.3,28,2.7,,,,IUCN; Fishbase
Cobitis kurui,58649,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Freshwater,Native,LC,,,LC,,,1,1,,,Cyprinus carpio (Unclear),dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,3.1,,,,,,,,,,,,,,IUCN; Fishbase
Cobitis ohridana,65312,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Freshwater,Native,LC,,,LC,,,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1,,1.4,3.2,,,,,3.5,,7.133333365,,,,,,,IUCN; Fishbase
Craterocephalus lentiginosus,10474,Freckled hardyhead,4,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,Freshwater,Native,LC,,,LC,,,,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,3,,,,,,,,,,,,,,IUCN; Fishbase
Cyprinodon dearborni,49548,,4,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Freshwater,Native,LC,,,LC,,,,,1,,Oreochromis mossambicus (Unclear); Oreochromis nilotucus (Unclear); Eleotris picta (Predation); Poecilia reticulata (Unclear),dioecism,external,nonguarders,,,,,,,,,,2.7,,,,,,,,20,27,7,,,,IUCN; Fishbase
Cyprinodon nazas,6256,Nazas pupfish,4,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Freshwater,Native,LC,,,LC,,,1,1,1,,Oreochromis mossambicus (Competition),dioecism,external,nonguarders,,,,,,,,,,2.7,,,,,,,,,,,,,,IUCN; Fishbase
Cyprinodon nichollsi,49551,,4,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,Freshwater,Native,LC,,,LC,,,,,1,,,dioecism,external,nonguarders,,,,,,,,,,2.4,,,,,,,,,,,,,,IUCN; Fishbase
Etheostoma okaloosae,3448,Okaloosa darter,4,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Etheostoma,Freshwater,Native,LC,,,LC,,,1,1,,,Etheostoma edwini (Unclear),dioecism,external,nonguarders,open water/substratum egg scatterers,,,,6,,0.8,,1.1,3.2,,,,2.4,,,,,,,,,,IUCN; Fishbase
Galaxias olidus,22575,Mountain Galaxias,4,Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,Freshwater,Native,LC,,,LC,,,1,1,,,Salmo trutta (Unclear); Oncorhynchus mykiss (Unclear); Perca fluviatilis (Unclear),dioecism,,nonguarders,open water/substratum egg scatterers,,,,,,1.1,,1.5,,2.93,,,,4,,13,4,30,26,,,,IUCN; Fishbase
Galaxias truttaceus,12623,Spotted mountain trout,4,Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,Freshwater_Brackish_Marine,Native,LC,,,LC,,,1,1,1,,Oncorhynchus mykiss (Competition); Salmo trutta (Competition); Perca fluviatilis (Competition); Gambusia holbrooki (Competition),dioecism,external,nonguarders,,one clear seasonal peak per year,7410,1505.5,13314.5,,,,,,2.85,predator,,,,,,6,20,14,13.2,17.1,3.9,IUCN; Fishbase
Galaxias vulgaris,22531,Common river galaxias,4,Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,Freshwater,Native,LC,,,LC,,,1,1,,,Salmo trutta (Competition; Predation); Oncorhynchus mykiss (Competition; Predation),dioecism,external,nonguarders,,one clear seasonal peak per year,1123.75,292,1955.5,,,,,,3.05,,,,,,,,,,,,,IUCN; Fishbase
Garra barreimiae,6117,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Garra,Freshwater,Native,LC,,,LC,,,,,1,,,dioecism,external,nonguarders,,,,,,,,,,,,,,,,,,18,24,6,,,,IUCN; Fishbase 
Glossolepis multisquamata,25619,Sepik rainbowfish,4,Animalia,Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,Glossolepis,Freshwater,Native,LC,,,LC,,,,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,,2.72,predator,,,,,,26,30,4,,,,IUCN; Fishbase
Kneria auriculata,11815,Airbreathing shellear,4,Animalia,Chordata,Actinopterygii,Gonorynchiformes,Kneriidae,Kneria,Freshwater,Native,LC,,,LC,,,,,1,,Oncorhynchus mykiss (Unclear),dioecism,external,nonguarders,,no obvious seasonal peak,,,,,,,,,,,,,,,,9,26,17,,,,IUCN; Fishbase
Macrhybopsis aestivalis,2778,Speckled chub,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Macrhybopsis,Freshwater,Native,LC,,,LC,,,1,1,,,,dioecism,external,nonguarders,,,,,796,,0.7,,0.8,,3.2,,,1,,,,,,,,,,IUCN; Fishbase
Macrhybopsis gelida,2783,Sturgeon chub,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Macrhybopsis,Freshwater,Native,LC,,,LC,,,1,1,,,,dioecism,external,nonguarders,,,,,,,1.3,,1.7,3.3,,,,4.1,,,,,,,,,,IUCN; Fishbase
Melanotaenia catherinae,10490,Waigeo rainbowfish,4,Animalia,Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,Freshwater,Native,LC,,,LC,,,,1,1,,Channa striata (Unclear),dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,2.9,,,,,,,,,,,,,,IUCN; Fishbase
Melanotaenia exquisita,10492,Exquisite rainbowfish,4,Animalia,Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,Freshwater,Native,LC,,,LC,,,,1,1,,Melanotaenia australis (Unclear),dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,,2.93,variable,,,,,,24,30,6,,,,IUCN; Fishbase
Melanotaenia fluviatilis,22685,Murray River rainbowfish,4,Animalia,Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,Freshwater,Native,LC,,,LC,,,,1,1,,Perca fluviatilis (Predation); Gambusia holbrooki (Predation); Cyprinus carpio (Habitat Degradation) ,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,0.915000021,3.4,2.9,,,,,3.5,,7.029999971,22,25,3,,,,IUCN; Fishbase
Melanotaenia praecox,10516,Dwarf rainbowfish,4,Animalia,Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,Freshwater,Native,LC,,,LC,,,,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,2.9,,,,,,,,22,28,6,,,,IUCN; Fishbase
Melanotaenia vanheurni,10520,Van Heurn's rainbowfish,4,Animalia,Chordata,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,Freshwater,Native,LC,,,LC,,,,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,,,2.9,,,,,,,,,,,,,,IUCN; Fishbase
Notropis bifrenatus,2830,Bridle shiner,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Notropis,Freshwater,Native,LC,,,LC,,1,1,,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,,1,1.3,,2.82,variable,,2.9,,,,6,20,14,,,,IUCN; Fishbase
Opsaridium zambezense,11609,Barred minnow,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Danionidae,Opsaridium,Freshwater,Native,LC,,,LC,,,,1,1,,,dioecism,external,nonguarders,,,,,,,,,,,3.38,predator,,,,,,24,26,2,,,,IUCN; Fishbase
Oregonichthys crameri,6135,Oregon chub,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Oregonichthys,Freshwater,Native,LC,,,LC,,,1,1,,,,dioecism,external,nonguarders,,,,,,,1.1,,1.5,3,,,,3.5,,,,,,,,,,IUCN; Fishbase
Pangasius bocourti,14112,,4,Animalia,Chordata,Actinopterygii,Siluriformes,Pangasiidae,Pangasius,Freshwater,Native,LC,,,LC,,,,,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,,,,,,,,,3.18,,,,,,,,,,,,,IUCN; Fishbase 
Percina copelandi,3490,Channel darter,4,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Percina,Freshwater,Native,LC,,,LC,,1,1,1,,,Neogobius melanostomus (Unclear),dioecism,external,nonguarders,brood hiders,one clear seasonal peak per year,539,357,721,,1,,1.4,,3.34,predator,,3.2,,,,,,,,,,IUCN; Fishbase
Pimelodella laticeps,23449,,4,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Pimelodella,Freshwater,Native,LC,,,LC,,,,1,1,,Cyprinus carpio (Unclear); Odontesthes bonariensis (Unclear),dioecism,,nonguarders,brood hiders,,,,,,,,,3.5,,,,,,,,,,,,,,IUCN; Fishbase
Pseudomyxus capensis,6334,Freshwater mullet,4,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Pseudomyxus,Freshwater_Brackish_Marine,Native,LC,,,LC,,,,1,1,,,dioecism,external,nonguarders,open water/substratum egg scatterers,throughout the year; but peaking once,,,,,,,,,2.77,variable,,,,,,15.3,24.9,9.6,,,,IUCN; Fishbase
Rivulus cylindraceus,11885,Green rivulus,4,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Rivulus,Freshwater,Native,LC,,,LC,,,,,1,,Clarias gariepinus (Predation); Oreochromis aureus (Competition); Oreochromis mossambicus (Competition); Poecilia reticulata (Unclear); Poecilia sphenops (Unclear),dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,0.3,,0.4,3.2,,,,0.8,,,,22,24,2,,,,IUCN; Fishbase
Sabanejewia larvata,46528,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Sabanejewia,Freshwater,Native,LC,,,LC,,,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,one clear seasonal peak per year,,,,,,2,2.6,,3.5,predator,,6.1,,,8,,,,,,,IUCN; Fishbase
Schizothorax curvifrons,24427,Sattar snowtrout,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Schizothorax,Freshwater,Native,LC,,,LC,,,1,1,,,,dioecism,external,nonguarders,,,,,,,3.7,,4.8,,2,grazer,,15.9,,,37,,,,,,,IUCN; Fishbase
Squalius carolitertii,9811,Bordallo,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Squalius,Freshwater,Native,LC,,,LC,,,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,7.9,,8.8,,3.36,predator,,,5,,19.63333321,,,,,,,IUCN; Fishbase
Alepidomus evermanni,49458,,4,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Alepidomus,Freshwater,Native,LC,,,LC,,,,,1,,Clarias gariepinus (Predation); Hypophthalmichthys molitrix (Unclear); Hypophthalmichthys nobilis (Unclear); Cyprinus carpio (Unclear); Ctenopharyngodon Idella (Unclear); Orechromis aureus (Unclear); Betta splendens (Unclear),,,nonguarders,,,,,,,,,,3.1,,,,,,,,,,,,,,IUCN; Fishbase
Astroblepus cyclopus,49592,,4,Animalia,Chordata,Actinopterygii,Siluriformes,Astroblepidae,Astroblepus,Freshwater,Native,LC,,,LC,,,,,1,,,,,nonguarders,,,113.5,107,120,,,,,3.2,,,,,,,,,,,,,,IUCN; Fishbase
Astroblepus grixalvii,49595,,4,Animalia,Chordata,Actinopterygii,Siluriformes,Astroblepidae,Astroblepus,Freshwater,Native,LC,,,LC,,,,,1,,,,,nonguarders,,,,,,,,,,3.4,,,,,,,,,,,,,,IUCN; Fishbase
Bhavania australis,24510,Western Ghat loach,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Balitoridae,Bhavania,Freshwater,Native,LC,,,LC,,,,,1,,,,,nonguarders,,,,,,,,,,3.2,,,,,,,9,,,,,,,IUCN; Fishbase
Brycinus lateralis,11874,Stripped robber,4,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,Freshwater,Native,LC,,,LC,,,,1,1,,,,,nonguarders,,,,,,,,,,,3.5,predator,,,,,,,,,,,,IUCN; Fishbase
Brycinus sadleri,4648,Sadler's robber,4,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Brycinus,Freshwater,Native,LC,,,LC,,,,,1,,Lates niloticus (Predation),,,nonguarders,,,,,,,1.7,,2.4,,3.2,,,6.1,,,13.80000019,,,,,,,IUCN; Fishbase
Clupeonella caspia,65307,Caspian tyulka,4,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupeonella,Freshwater_Brackish_Marine,Native,LC,,,LC,,1,1,1,,,,,,nonguarders,,,,,,,0.9,,1.2,,,,,3.2,,,,,,,,,,IUCN; Fishbase
Craterocephalus amniculus,53602,Darling river hardyhead,4,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,Freshwater,Native,LC,,,LC,,,,1,,,Carassius auratus (Unclear); Gambusa holbrooki (Unclear); Cyprinus carpio (Unclear); Perca fluviatilis (Unclear); Oncorhynchus mykiss (Unclear); Salmo trutta (Unclear),,,nonguarders,,,,,,,,,,3,,,,,,,,,,,,,,IUCN; Fishbase
Craterocephalus cuneiceps,22658,Deep hardyhead,4,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,Freshwater,Native,LC,,,LC,,,,1,1,,Oreochromis moosambicus (Unclear); Gambusia holbrooki (Unclear),,,nonguarders,,,,,,,,,,3,,,,,,,,,,,,,,IUCN; Fishbase
Craterocephalus stercusmuscarum,22666,Fly-specked hardyhead,4,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,Freshwater,Native,LC,,,LC,,,,1,1,,Gambusia holbrooki (Unclear),,,nonguarders,,,,,,,,,,,3.2,,,,,,,24,30,6,,,,IUCN; Fishbase
Craterocephalus stramineus,22668,Blackmast,4,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,Freshwater,Native,LC,,,LC,,,,1,1,,,,,nonguarders,,,,,,,,,,,2.99,variable,,,,,,25,30,5,,,,IUCN; Fishbase
Dayella malabarica,1560,Day's round herring,4,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Dayella,Freshwater_Brackish_Marine,Native,LC,,,LC,,,,,1,,,,,nonguarders,,,,,,,,,,3.1,,,,,,,,,,,,,,IUCN; Fishbase
Epiplatys infrafasciatus,65895,,4,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Epiplatys,Freshwater,Native,LC,,,LC,,,,,1,,,,,nonguarders,,,,,,,,,,3.3,,,,,,,,22,26,4,,,,IUCN; Fishbase
Galaxias arcanus,69414,Riffle Galaxias,4,Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,Freshwater,Native,LC,,,LC,,,,1,,,Salmo trutta (Predation); Oncorhynchus mykiss (Predation),,,nonguarders,,,,,,,,,,3.2,,,,,,,,,,,,,,IUCN; Fishbase
Galaxias oliros,69421,Obscure Galaxias,4,Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,Freshwater,Native,LC,,,LC,,,,1,,,Perca fluviatilis (Unclear),,,nonguarders,,,,,,,,,,3.2,,,,,,,,,,,,,,IUCN; Fishbase
Galaxias ornatus,69410,Ornate Galaxias,4,Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,Freshwater,Native,LC,,,LC,,,,1,,,Oncorhynchus mykiss (Unclear); Salmo trutta (Unclear); Perca fluviatilis (Unclear),,,nonguarders,,,,,,,,,,3.2,,,,,,,,,,,,,,IUCN; Fishbase
Haludaria fasciata,24700,Melon barb,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Haludaria,Freshwater,Native,LC,,,LC,,,,,1,,Xiphophorus maculatus (Unclear),,,nonguarders,,,,,,,,,,2.9,,,,,,,,22,26,4,,,,IUCN; Fishbase
Hydrocynus forskahlii,4496,Elongate tigerfish,4,Animalia,Chordata,Actinopterygii,Characiformes,Alestidae,Hydrocynus,Freshwater,Native,LC,,,LC,,,,,1,,,,,nonguarders,,,,,,,2.2,,3.1,,4,predator,,9.9,,,50.73333232,,,,,,,IUCN; Fishbase
Lefua echigonia,22943,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Nemacheilidae,Lefua,Freshwater,Native,LC,,,LC,,,1,1,,,,,,nonguarders,,,,,,,,,,2.8,,,,,,,,,,,,,,IUCN; Fishbase
Lovettia sealii,7541,Tasmanian whitebait,4,Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidae,Lovettia,Freshwater_Brackish_Marine,Native,LC,,,LC,,,1,1,1,,Salmo trutta (Predation); Gambusia holbrooki (Predation),,,nonguarders,,,,,,,0.9,,1.1,3.2,,,,2.6,,,,,,,,,,IUCN; Fishbase
Nothobranchius kafuensis,49569,Kafue killifish,4,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Nothobranchius,Freshwater,Native,LC,,,LC,,,,,1,,,,,nonguarders,,,,,,,,,,3.2,,,,,,,,22,28,6,,,,IUCN; Fishbase
Oxynoemacheilus bureschi,57455,Bulgarian stone loach,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Nemacheilidae,Oxynoemacheilus,Freshwater,Native,LC,,,LC,,,1,1,,,,,,nonguarders,,,,,,,1.6,,2.1,2.8,,,,5,,,,,,,,,,IUCN; Fishbase
Phoxinus septimaniae,64180,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Phoxinus,Freshwater,Native,LC,,,LC,,,1,,,,Phoxinus phoxinus (Unclear),,,nonguarders,,,,,,,,,,3,,,,,,,,,,,,,,IUCN; Fishbase
Rasbora labiosa,24415,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Danionidae,Rasbora,Freshwater,Native,LC,,,LC,,,,,1,,,,,nonguarders,,,,,,,1.1,,1.5,3.2,,,,3.4,,,8.5,,,,,,,IUCN; Fishbase
Retropinna tasmanica,7539,Tasmanian smelt,4,Animalia,Chordata,Actinopterygii,Osmeriformes,Retropinnidae,Retropinna,Freshwater_Brackish_Marine,Native,LC,,,LC,,,1,1,,,Salmo trutta (Unclear); Oncorhynchus mykiss (Unclear),,,nonguarders,,,,,,,0.8,,1.1,,3.29,variable,,2.4,,,,,,,,,,IUCN; Fishbase
Scardinius hesperidicus,65320,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Scardinius,Freshwater,Native,LC,,,LC,,,1,,,,Scardinius erythrophthalmus (Hybridization),,,nonguarders,open water/substratum egg scatterers,,,,,,,2.5,2.9,,,,,9.9,,,,,,,,,,IUCN; Fishbase
Toxotes kimberleyensis,62208,Kimberley archerfish,4,Animalia,Chordata,Actinopterygii,Perciformes,Toxotidae,Toxotes,Freshwater,Native,LC,,,LC,,,,1,1,,,,,nonguarders,,,,,,,,,,,3.2,,,,,,,,,,,,,IUCN; Fishbase
Allomogurnda nesolepis,26397,Yellowbelly gudgeon,4,Animalia,Chordata,Actinopterygii,Gobiiformes,Eleotridae,Allomogurnda,Freshwater,Native,LC,,,LC,,,,1,1,,,dioecism,external,guarders,,,,,,,,,,3.2,,,,,,,,22,27,5,,,,IUCN; Fishbase
Ambassis agassizii,10550,Agassiz's glassfish,4,Animalia,Chordata,Actinopterygii,Perciformes,Ambassidae,Ambassis,Freshwater,Native,LC,,,LC,,,,1,,,Gambusia holbrooki (Unclear); Perca fluviatilis (Unclear),dioecism,external,nonguarders,,,,,,,1.2,,1.5,,3.3,variable,,3.2,,,,,,,,,,IUCN; Fishbase
Astatheros macracanthus,26749,Blackthroat cichlid,4,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astatheros,Freshwater,Native,LC,,,LC,,,,,1,,,dioecism,external,,,,,,,,,,,3.3,,,,,,,,26,30,4,,,,IUCN; Fishbase 
Brachirus villosus,26596,Velvety sole,4,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Brachirus,Freshwater,Native,LC,,,LC,,,,1,1,,,dioecism,external,nonguarders,,,,,,,,,,3.5,,,,,,,,,,,,,,IUCN; Fishbase
Catostomus bernardini,2961,Yaqui sucker,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,Freshwater,Native,LC,,,LC,,,1,1,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,2.5,,2.9,2.8,,,,10.2,,,,,,,,,,IUCN; Fishbase
Cobitis maroccana,25873,,4,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Freshwater,Native,LC,,,LC,,,1,,,,,dioecism,external,nonguarders,open water/substratum egg scatterers,,,,,,1.4,,1.9,3.2,,,,4.5,,,,,,,,,,IUCN; Fishbase
Cottus klamathensis,4075,Marbled sculpin,4,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Freshwater,Native,LC,,,LC,,,1,,,,Salmo trutta (Unclear),dioecism,external,,,,,,1184,,,,,,,,,,5,,11,,,,,,,IUCN; Fishbase
